Index,,Location,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,,World,1,259,"2,982","44,045","235,789","388,314","535,852","712,811","899,393","1,066,975","1,254,447","1,532,840"
2,,United States,0,0,1,"3,155","61,347","104,900","128,182","156,284","186,292","208,253","232,295","271,235"
3,,Brazil,0,0,0,159,"5,466","28,834","58,314","91,263","120,828","142,921","159,477","172,833"
4,,India,0,0,0,38,"1,147","5,394","17,400","36,511","65,288","98,678","122,111","137,621"
5,,Mexico,0,0,0,28,"1,732","9,779","27,121","46,000","64,158","77,163","91,289","105,655"
6,,Peru,0,0,0,113,"4,450","20,116","37,512","55,584","73,487","82,236","86,653","89,653"
7,,United Kingdom,0,0,0,"2,453","26,683","37,445","40,394","41,189","41,501","42,143","46,555","58,448"
8,,Italy,0,0,29,"12,430","27,967","33,415","34,767","35,141","35,483","35,894","38,618","55,576"
9,,France,0,0,2,"3,514","24,342","28,746","29,760","30,147","30,494","31,746","36,486","52,371"
10,,Spain,0,0,1,"9,490","25,899","29,128","29,763","29,946","31,029","34,157","39,267","48,416"
11,,Iran,0,0,43,"3,036","6,028","7,797","10,817","16,766","21,571","26,169","34,864","48,246"
12,,Russia,0,0,0,24,"1,169","4,855","9,536","14,058","17,299","20,891","28,235","40,464"
13,,Argentina,0,0,0,24,215,530,"1,283","3,466","8,498","16,519","30,792","38,473"
14,,Colombia,0,0,0,14,278,890,"3,223","9,810","19,364","25,828","31,135","36,584"
15,,South Africa,0,0,0,5,103,683,"2,657","8,005","14,149","16,734","19,276","21,535"
16,,Poland,0,0,0,33,644,"1,064","1,463","1,716","2,039","2,513","5,631","17,150"
17,,Indonesia,0,0,0,157,800,"1,641","2,934","5,193","7,505","10,856","13,943","17,081"
18,,Belgium,0,0,0,"1,384","7,869","9,380","9,646","9,723","9,914","10,046","11,899","16,953"
19,,Germany,0,0,0,732,"6,481","8,511","8,985","9,141","9,302","9,500","10,481","16,636"
20,,Chile,0,0,0,12,227,"1,054","5,688","9,457","11,289","12,741","14,207","15,410"
21,,Turkey,0,0,0,214,"3,174","4,540","5,131","5,691","6,370","8,195","10,252","13,746"
22,,Ecuador,0,0,0,8,900,"3,358","4,527","5,702","6,556","11,355","12,670","13,461"
23,,Ukraine,0,0,0,17,272,718,"1,173","1,709","2,605","4,193","7,306","12,548"
24,,Iraq,0,0,0,50,93,205,"1,943","4,741","7,042","9,181","10,910","12,258"
25,,Canada,0,0,0,89,"3,082","7,092","8,566","8,929","9,117","9,291","10,110","12,032"
26,,Romania,0,0,0,92,744,"1,276","1,667","2,379","3,681","4,862","7,067","11,530"
27,,Netherlands,0,0,0,"1,018","4,765","5,923","6,086","6,145","6,220","6,407","7,398","9,362"
28,,Bolivia,0,0,0,6,59,310,"1,071","2,894","4,966","7,931","8,715","8,952"
29,,Czech Republic,0,0,0,35,242,318,347,382,427,675,"3,604","8,607"
30,,Philippines,0,0,1,88,568,957,"1,266","2,023","3,558","5,504","7,221","8,392"
31,,Pakistan,0,0,0,26,385,"1,543","4,395","5,970","6,298","6,484","6,806","8,025"
32,,Sweden,0,0,0,284,"2,837","4,615","5,495","5,759","5,829","5,880","6,022","7,198"
33,,Bangladesh,0,0,0,6,170,672,"1,888","3,132","4,316","5,272","5,941","6,675"
34,,Egypt,0,0,0,46,392,959,"2,953","4,805","5,421","5,930","6,266","6,650"
35,,Saudi Arabia,0,0,0,16,162,503,"1,649","2,866","3,897","4,768","5,402","5,896"
36,,Morocco,0,0,0,36,170,205,228,353,"1,141","2,194","3,695","5,846"
37,,Hungary,0,0,0,20,323,526,585,596,615,781,"1,819","4,977"
38,,Switzerland,0,0,0,482,"1,605","1,724","1,733","1,750","1,771","1,833","2,319","4,910"
39,,China,1,259,"2,873","3,321","4,643","4,645","4,648","4,668","4,730","4,746","4,746","4,750"
40,,Portugal,0,0,0,160,"1,007","1,410","1,576","1,735","1,822","1,971","2,507","4,505"
41,,Guatemala,0,0,0,1,16,102,746,"1,924","2,760","3,246","3,729","4,171"
42,,Bulgaria,0,0,0,8,66,140,230,383,629,825,"1,279","4,035"
43,,Austria,0,0,0,155,630,696,734,748,762,824,"1,213","3,619"
44,,Tunisia,0,0,0,10,41,48,50,51,80,271,"1,348","3,260"
45,,Panama,0,0,0,24,178,330,620,"1,397","1,995","2,364","2,688","3,060"
46,,Honduras,0,0,0,2,71,201,485,"1,312","1,858","2,323","2,669","2,909"
47,,Israel,0,0,0,21,226,289,329,566,962,"1,613","2,570","2,885"
48,,Jordan,0,0,0,5,8,9,9,11,15,61,829,"2,751"
49,,Bosnia and Herzegovina,0,0,0,13,69,153,186,328,609,856,"1,234","2,681"
50,,Kazakhstan,0,0,0,2,25,41,188,793,"1,878","2,075","2,219","2,477"
51,,Algeria,0,0,0,35,450,653,912,"1,210","1,510","1,736","1,956","2,431"
52,,Greece,0,0,0,49,140,175,192,206,266,391,626,"2,406"
53,,Dominican Republic,0,0,0,51,301,502,747,"1,160","1,710","2,105","2,245","2,331"
54,,Nepal,0,0,0,0,0,8,32,60,268,619,"1,432","2,320"
55,,Moldova,0,0,0,5,119,295,547,778,995,"1,320","1,785","2,304"
56,,Armenia,0,0,0,3,33,139,453,749,881,963,"1,363","2,193"
57,,Japan,0,0,6,57,432,892,974,"1,011","1,296","1,571","1,766","2,139"
58,,Ireland,0,0,0,71,"1,052","1,515","1,621","1,662","1,680","1,711","1,830","1,976"
59,,Myanmar,0,0,0,1,6,6,6,6,6,310,"1,237","1,941"
60,,Croatia,0,0,0,6,69,103,107,145,186,280,546,"1,786"
61,,Afghanistan,0,0,0,4,64,269,778,"1,287","1,410","1,462","1,536","1,774"
62,,North Macedonia,0,0,0,11,77,133,302,486,603,739,994,"1,763"
63,,Paraguay,0,0,0,3,9,11,17,47,308,841,"1,387","1,743"
64,,Costa Rica,0,0,0,2,6,10,15,140,418,880,"1,371","1,715"
65,,Ethiopia,0,0,0,0,3,11,103,274,809,"1,198","1,469","1,706"
66,,Serbia,0,0,0,13,179,243,277,573,713,749,820,"1,604"
67,,Slovenia,0,0,0,18,97,113,114,121,133,155,391,"1,567"
68,,Kenya,0,0,0,1,17,64,148,341,577,711,996,"1,469"
69,,Oman,0,0,0,1,11,49,176,421,685,935,"1,208","1,423"
70,,Azerbaijan,0,0,0,4,23,61,206,441,531,590,718,"1,361"
71,,Georgia,0,0,0,0,6,12,15,17,19,40,335,"1,303"
72,,Kyrgyzstan,0,0,0,0,8,16,62,952,"1,060","1,065","1,150","1,275"
73,,Sudan,0,0,0,2,31,286,592,746,823,836,837,"1,265"
