Index,,Location,Jul1,Aug1,Sep1,Oct1,Nov1,Dec1
1,,World,"3,954,147","4,229,169","4,536,307","4,794,137","5,005,025","5,215,745"
2,,United States,"600,853","610,606","642,770","697,430","743,217","774,868"
3,,Brazil,"515,985","555,460","579,574","596,122","607,694","614,376"
4,,India,"399,459","424,351","439,020","448,339","458,437","469,247"
5,,Mexico,"238,055","245,959","267,253","283,091","290,717","293,950"
6,,Russia,"135,886","159,352","184,014","208,142","239,693","276,419"
7,,Peru,"192,331","196,291","198,263","199,367","200,217","201,144"
8,,United Kingdom,"128,140","129,654","132,535","136,662","140,632","144,969"
9,,Indonesia,"58,995","95,723","133,676","142,026","143,423","143,840"
10,,Italy,"127,566","128,063","129,221","130,921","132,100","133,828"
11,,Iran,"84,264","90,630","107,794","120,428","126,303","129,830"
12,,Colombia,"105,934","120,432","124,883","126,261","127,258","128,473"
13,,France,"110,133","110,795","112,743","114,447","115,244","116,655"
14,,Argentina,"93,668","105,586","111,607","115,179","115,950","116,554"
15,,Germany,"90,938","91,659","92,223","93,711","95,752","101,790"
16,,South Africa,"60,647","72,013","82,261","87,626","89,177","89,843"
17,,Spain,"81,744","82,725","85,574","87,006","87,568","88,052"
18,,Ukraine,"52,391","52,951","53,833","56,446","68,027","86,532"
19,,Poland,"75,058","75,271","75,368","75,673","77,019","84,153"
20,,Turkey,"49,732","51,332","56,710","64,054","70,611","76,842"
21,,Romania,"33,786","34,281","34,570","37,041","47,751","56,529"
22,,Philippines,"24,662","27,889","33,448","38,294","43,172","48,545"
23,,Chile,"32,545","35,448","36,937","37,468","37,757","38,346"
24,,Hungary,"29,992","30,026","30,059","30,199","30,881","34,713"
25,,Ecuador,"21,560","31,631","32,244","32,767","32,980","33,250"
26,,Czech Republic,"30,439","30,455","30,483","30,528","30,863","33,186"
27,,Malaysia,"5,170","9,024","16,664","26,335","28,912","30,425"
28,,Canada,"26,273","26,592","26,918","27,819","28,965","29,670"
29,,Pakistan,"22,281","23,360","25,788","27,729","28,449","28,728"
30,,Bulgaria,"18,061","18,213","18,896","20,882","23,999","28,453"
31,,Bangladesh,"14,646","20,916","26,274","27,531","27,870","27,981"
32,,Belgium,"25,181","25,251","25,388","25,613","26,053","27,015"
