Index,,Location,Jan1,Feb1,Mar1
1,,World,"5,440,722","5,682,684","5,954,004"
2,,United States,"819,197","881,867","941,112"
3,,Brazil,"618,984","626,854","649,134"
4,,India,"481,486","496,242","514,023"
5,,Russia,"309,707","332,012","352,446"
6,,Mexico,"301,663","310,131","318,149"
7,,Peru,"202,653","205,505","210,538"
8,,United Kingdom,"149,790","157,677","161,754"
9,,Italy,"137,402","146,498","154,767"
10,,Indonesia,"144,096","144,348","148,660"
11,,Colombia,"129,901","134,079","138,693"
12,,Iran,"131,606","132,454","136,838"
13,,France,"121,149","128,120","135,262"
14,,Argentina,"117,146","120,988","126,152"
15,,Germany,"112,109","117,974","122,937"
16,,Poland,"97,559","105,435","111,586"
17,,Ukraine,"96,089","100,395","106,129"
18,,Spain,"90,556","95,902","99,875"
19,,South Africa,"91,145","95,093","99,412"
20,,Turkey,"82,361","87,416","94,445"
21,,Romania,"58,752","60,025","63,414"
22,,Philippines,"51,504","54,003","56,451"
23,,Hungary,"39,186","41,471","44,051"
24,,Chile,"39,115","39,721","42,353"
25,,Vietnam,"32,394","37,777","40,252"
26,,Czech Republic,"36,324","37,347","38,750"
27,,Canada,"30,280","33,722","36,537"
28,,Bulgaria,"30,955","33,318","35,581"
29,,Ecuador,"33,672","34,514","35,244"
30,,Malaysia,"31,487","31,978","32,749"
31,,Belgium,"28,403","29,161","30,208"
32,,Pakistan,"28,927","29,269","30,178"
33,,Bangladesh,"28,076","28,425","29,045"
34,,Tunisia,"25,569","26,288","27,784"
35,,Greece,"20,790","23,500","25,860"
36,,Iraq,"24,158","24,389","24,989"
37,,Egypt,"21,752","22,635","24,074"
38,,Japan,"18,393","18,792","23,633"
39,,Thailand,"21,708","22,185","22,976"
40,,Netherlands,"20,920","21,265","21,554"
41,,Bolivia,"19,680","20,919","21,441"
42,,Portugal,"18,955","19,905","21,063"
43,,Myanmar,"19,272","19,310","19,372"
44,,Kazakhstan,"18,231","18,528","18,947"
45,,Slovakia,"16,665","17,850","18,530"
46,,Paraguay,"16,629","17,260","18,359"
47,,Sweden,"15,377","16,245","17,416"
48,,Guatemala,"16,106","16,379","16,971"
49,,Sri Lanka,"14,995","15,473","16,244"
50,,Georgia,"13,860","15,016","16,199"
51,,Morocco,"14,849","15,400","15,988"
52,,Bosnia and Herzegovina,"13,442","14,447","15,459"
53,,Serbia,"12,714","13,629","15,241"
54,,Croatia,"12,538","13,827","15,069"
55,,Austria,"13,351","13,617","14,213"
56,,Jordan,"12,653","13,217","13,835"
57,,Switzerland,"11,921","12,372","12,683"
58,,Nepal,"11,594","11,752","11,938"
59,,Moldova,"10,275","10,666","11,228"
60,,Honduras,"10,434","10,504","10,775"
61,,Israel,"8,258","8,990","10,234"
62,,Lebanon,"9,119","9,606","10,091"
63,,Azerbaijan,"8,358","8,734","9,417"
64,,North Macedonia,"7,976","8,439","9,025"
65,,Saudi Arabia,"8,877","8,940","8,998"
66,,Cuba,"8,322","8,399","8,494"
67,,Armenia,"7,975","8,056","8,478"
